Text,Text_ok,Sentiment_Polarity,Sentiments
 Enjoying a beautiful day at the park!              ,enjoying beautiful day park,0.675,Tích cực
 Traffic was terrible this morning.                 ,traffic terrible morning,-1.0,Tiêu cực
 Just finished an amazing workout! 💪               ,finished amazing workout,0.6000000000000001,Tích cực
 Excited about the upcoming weekend getaway!        ,excited upcoming weekend getaway,0.375,Tích cực
 Trying out a new recipe for dinner tonight.        ,trying new recipe dinner tonight,0.13636363636363635,Tích cực
 Feeling grateful for the little things in life.    ,feeling grateful little things life,-0.1875,Tiêu cực
 Rainy days call for cozy blankets and hot cocoa.   ,rainy days call cozy blankets hot cocoa,0.02500000000000001,Trung lập
 The new movie release is a must-watch!             ,new movie release mustwatch,0.13636363636363635,Tích cực
 Political discussions heating up on the timeline.  ,political discussions heating timeline,0.0,Trung lập
 Missing summer vibes and beach days.               ,missing summer vibes beach days,-0.2,Tiêu cực
 Just published a new blog post. Check it out!      ,published new blog post check,0.13636363636363635,Tích cực
 Feeling a bit under the weather today.             ,feeling bit weather today,0.0,Trung lập
 Exploring the city's hidden gems.                  ,exploring citys hidden gems,-0.16666666666666666,Tiêu cực
" New year, new fitness goals! 💪                    ",new year new fitness goals,0.13636363636363635,Tích cực
 Technology is changing the way we live.            ,technology changing way live,0.13636363636363635,Tích cực
 Reflecting on the past and looking ahead.          ,reflecting past looking ahead,-0.25,Tiêu cực
 Just adopted a cute furry friend! 🐾              ,adopted cute furry friend,0.5,Tích cực
 Late-night gaming session with friends.            ,latenight gaming session friends,0.0,Trung lập
 Attending a virtual conference on AI.              ,attending virtual conference ai,0.0,Trung lập
 Winter blues got me feeling low.                   ,winter blues got feeling low,0.0,Trung lập
 Sipping coffee and enjoying a good book.           ,sipping coffee enjoying good book,0.6,Tích cực
 Exploring the world of virtual reality.            ,exploring world virtual reality,0.0,Trung lập
 Productive day ticking off my to-do list.          ,productive day ticking todo list,0.0,Trung lập
 Just finished a challenging workout routine.       ,finished challenging workout routine,0.5,Tích cực
 Celebrating a milestone at work! 🎉               ,celebrating milestone work,0.0,Trung lập
