Text,Cảm_xúc,Độ_tin_cậy
 Enjoying a beautiful day at the park!              ,Tích cực,0.9846
 Traffic was terrible this morning.                 ,Tiêu cực,0.943
 Just finished an amazing workout! 💪               ,Tích cực,0.9785
 Excited about the upcoming weekend getaway!        ,Tích cực,0.982
 Trying out a new recipe for dinner tonight.        ,Trung lập,0.7468
 Feeling grateful for the little things in life.    ,Tích cực,0.9608
 Rainy days call for cozy blankets and hot cocoa.   ,Tích cực,0.6157
 The new movie release is a must-watch!             ,Tích cực,0.9619
 Political discussions heating up on the timeline.  ,Trung lập,0.8984
 Missing summer vibes and beach days.               ,Tích cực,0.7313
 Just published a new blog post. Check it out!      ,Tích cực,0.7375
 Feeling a bit under the weather today.             ,Tiêu cực,0.8372
 Exploring the city's hidden gems.                  ,Tích cực,0.6843
" New year, new fitness goals! 💪                    ",Tích cực,0.6581
 Technology is changing the way we live.            ,Tích cực,0.5783
 Reflecting on the past and looking ahead.          ,Trung lập,0.8316
 Just adopted a cute furry friend! 🐾              ,Tích cực,0.9309
 Late-night gaming session with friends.            ,Trung lập,0.6125
 Attending a virtual conference on AI.              ,Trung lập,0.9318
 Winter blues got me feeling low.                   ,Tiêu cực,0.8547
 Sipping coffee and enjoying a good book.           ,Tích cực,0.918
 Exploring the world of virtual reality.            ,Trung lập,0.6457
 Productive day ticking off my to-do list.          ,Tích cực,0.9664
 Just finished a challenging workout routine.       ,Trung lập,0.7392
 Celebrating a milestone at work! 🎉               ,Tích cực,0.9504
 Sunday brunch with friends.                        ,Trung lập,0.6371
 Learning a new language for personal growth.       ,Tích cực,0.6118
 Quiet evening with a good book.                    ,Tích cực,0.8441
 Reflecting on the importance of mental health.     ,Trung lập,0.6285
 New painting in progress! 🎨                       ,Trung lập,0.7326
 Weekend road trip to explore scenic views.         ,Tích cực,0.8497
 Enjoying a cup of tea and watching the sunset.     ,Tích cực,0.9492
 Coding a new project with enthusiasm.              ,Tích cực,0.882
 Feeling inspired after attending a workshop.       ,Tích cực,0.9464
 Winter sports day at the local park.               ,Trung lập,0.5224
 Quality time with family this weekend.             ,Tích cực,0.9752
 Attending a live music concert tonight.            ,Trung lập,0.883
 Practicing mindfulness with meditation.            ,Trung lập,0.6764
 Trying out a new dessert recipe.                   ,Trung lập,0.6435
 Excited about the upcoming gaming tournament.      ,Tích cực,0.9879
 Planning a garden makeover for spring.             ,Trung lập,0.6519
 Celebrating a friend's birthday tonight! 🎂       ,Tích cực,0.8769
 Feeling accomplished after a productive day.       ,Tích cực,0.9701
 A cozy evening with a good movie.                 ,Tích cực,0.9473
 Exploring local art galleries this weekend.        ,Tích cực,0.6403
 New book release from my favorite author!          ,Tích cực,0.9859
 Attending a virtual reality meetup.                ,Trung lập,0.8871
 Reflecting on the beauty of nature.                ,Tích cực,0.7784
 Cooking a special dinner for loved ones.           ,Tích cực,0.793
 Feeling optimistic about the week ahead.           ,Tích cực,0.9678
 Starting a new fitness challenge tomorrow! 💪     ,Trung lập,0.632
 Sunday bike ride through scenic trails.           ,Tích cực,0.6188
 Can't believe the injustice happening in our society.,Tiêu cực,0.935
 Feeling a sense of fear after watching a thriller movie. ,Tiêu cực,0.6634
 Heartbroken after hearing the news about a natural disaster. ,Tiêu cực,0.8903
 The state of the world's environment is just disgusting. ,Tiêu cực,0.9458
 Pure happiness: celebrating a loved one's achievement! ,Tích cực,0.9861
 Laughter is the best medicine—enjoying a comedy show. ,Tích cực,0.9735
 Sharing love and positive vibes with everyone! ❤️      ,Tích cực,0.9474
 An amusing incident brightened up my day!               ,Tích cực,0.9641
 Enjoying a quiet evening with a book and some tea.      ,Tích cực,0.9304
